frame,particleID,x,y,r,edge'
1,1,755.33,567.42,52,1
1,2,449.37,702.26,52,0
1,3,585.36,290.16,51,0
1,4,341.96,727.84,50,0
1,5,732.18,461.52,51,0
1,6,600.31,183.9,52,0
1,7,411.47,471.17,51,0
1,8,174.49,387.64,52,0
1,9,260.9,658.61,51,0
1,10,118.01,587.47,51,-1
1,11,502.72,610.67,52,0
1,12,365.57,283.4,52,0
1,13,137.24,196.98,74,-1
1,14,119.21,480.11,51,-1
1,15,237.11,531.89,74,0
1,16,226.25,292.67,52,0
1,17,731.64,695.41,74,1
1,18,288.88,177.38,73,-2
1,19,731.99,177.96,74,-2
1,20,374.71,595.34,74,0
1,21,141.26,718.39,74,2
1,22,470.19,205.85,73,0
1,23,583.05,713.72,74,2
1,24,513.76,503.19,52,0
1,25,626.88,567.26,73,0
1,26,304.48,396.41,74,0
1,27,474.04,356.3,74,0
1,28,734.11,328.84,74,1
1,29,612.5,416.32,72,0
2,1,755.19,564.58,51,1
2,2,451.5,704.27,52,0
2,3,585.72,290.87,51,0
2,4,600.81,184.87,52,0
2,5,733.8,459.68,51,0
2,6,344.28,727.13,50,0
2,7,260.34,659.75,51,0
2,8,173.48,387.44,52,0
2,9,136.91,197.27,74,-1
2,10,411.8,470.32,51,0
2,11,117.69,588.96,52,-1
2,12,117.03,479.14,51,-1
2,13,503.78,609.71,52,0
2,14,732.21,176.77,74,-2
2,15,225.94,293.99,52,0
2,16,236.58,532.14,74,0
2,17,734.07,693,74,1
2,18,365.74,283.3,52,0
2,19,289.45,179.09,73,-2
2,20,516.14,502.86,52,0
2,21,582.3,712.59,73,2
2,22,373.98,596.43,73,0
2,23,473.04,356.61,73,0
2,24,470.11,206.19,73,0
2,25,141.62,717.78,74,2
2,26,304.08,396.03,74,0
2,27,733.27,327.79,73,1
2,28,627.2,567.88,73,0
2,29,612.87,415.37,72,0
3,1,451.77,703.51,51,0
3,2,756.57,566.63,52,1
3,3,585.71,291.62,51,0
3,4,730.63,177.03,75,-2
3,5,343.39,728.9,51,0
3,6,260.62,659.02,51,0
3,7,411.12,469.2,51,0
3,8,172.23,387.71,52,0
3,9,117.63,480.53,50,-1
3,10,734.17,459.17,50,0
3,11,599.66,182.85,51,0
3,12,502.67,609.42,51,0
3,13,117.92,588.88,52,-1
3,14,136.69,197.58,74,-1
3,15,365.06,282.98,52,0
3,16,236.31,533.56,74,0
3,17,733.1,694.51,73,1
3,18,226.39,292.72,52,0
3,19,289.89,178.77,74,-2
3,20,582.7,713.67,74,2
3,21,375.64,595.2,73,0
3,22,514.98,502.84,52,0
3,23,140.89,716.38,75,2
3,24,626.65,567.92,73,0
3,25,473.35,355.13,73,0
3,26,469.85,205.75,73,0
3,27,731.34,327.49,74,1
3,28,304.07,396.42,73,0
3,29,612.27,416.19,73,0
